;Relativities;LowerBound;UpperBound
(Intercept);0.003;0.002;0.004
rating.11;6.891;4.614;10.292
rating.12;3.692;3.127;4.358
rating.14;1.184;0.804;1.743
rating.15;7.54E-06;0;Inf
rating.2K;0.673;0.516;0.878
rating.31;4.320;3.517;5.307
rating.32;2.612;2.123;3.214
rating.33;1.602;1.278;2.008
rating.35;0.831;0.426;1.623
rating.36;1.086;0.670;1.760
rating.37;0.697;0.098;4.977
rating.41;0.696;0.493;0.981
rating.42;1.033;0.753;1.418
rating.43;0.594;0.473;0.746
rating.44;0.677;0.524;0.874
rating.46;1.842;1.478;2.295
rating.47;1.108;0.489;2.512
rating.51;3.542;2.887;4.345
rating.52;1.975;1.629;2.393
rating.61;0.951;0.790;1.144
rating.62;1.143;0.928;1.409
